Id,y
50100,2.1186533
50101,1.7559907
50102,1.6488438
50103,1.7747906
50104,1.9983636
50105,1.6702878
50106,1.9529132
50107,2.1144397
50108,2.1245956
50109,1.6387675
50110,1.7246023
50111,1.9207362
50112,1.791051
50113,1.6875333
50114,1.5278946
50115,1.7195019
50116,1.678499
50117,1.8279048
50118,1.6971456
50119,1.9406881
50120,1.6892103
50121,1.8020617
50122,1.3491983
50123,1.5521215
50124,1.6570817
50125,1.5949814
50126,1.5831616
50127,1.9072556
50128,1.8391426
50129,1.6454679
50130,1.5981208
50131,1.8484333
50132,1.9450334
50133,1.9211903
50134,1.9531054
50135,1.5244477
50136,1.5462872
50137,1.8209146
50138,2.00948
50139,1.71721
50140,2.1197085
50141,1.3618978
50142,1.9943578
50143,1.616434
50144,1.7221396
50145,2.1260898
50146,1.6244881
50147,2.0341456
50148,1.7242008
50149,1.7105141
50150,1.7309247
50151,1.6390442
50152,1.9876596
50153,1.6170236
50154,1.9140043
50155,2.1790202
50156,1.8631546
50157,1.7691326
50158,1.926193
50159,1.8009146
50160,1.6232353
50161,1.791099
50162,1.7596496
50163,1.6949508
50164,1.9756387
50165,1.9246643
50166,1.8451527
50167,1.8058798
50168,1.5226685
50169,1.6204983
50170,1.927154
50171,1.5845443
50172,1.5608224
50173,1.863179
50174,1.7665136
50175,1.6079463
50176,1.7068315
50177,1.860499
50178,1.6618301
50179,2.012603
50180,1.9681065
50181,1.5996912
50182,1.9249451
50183,1.8829398
50184,2.0244298
50185,1.5157572
50186,1.8503995
50187,1.8680538
50188,1.805766
50189,1.986298
50190,1.8610711
50191,1.7333728
50192,1.814929
50193,1.7328355
50194,1.5455118
50195,1.7174633
50196,1.7599205
50197,1.4423362
50198,1.635265
50199,1.7718005
50200,2.026479
50201,1.6568376
50202,1.4579086
50203,1.6420038
50204,2.1447675
50205,1.5643067
50206,1.588993
50207,1.6431934
50208,2.023743
50209,1.837817
50210,2.077179
50211,1.8896673
50212,1.7691283
50213,1.9954761
50214,2.1962235
50215,1.6694367
50216,1.7132268
50217,1.6365992
50218,1.748208
50219,1.8663708
50220,1.7271864
50221,1.5756264
50222,1.7587248
50223,1.5325828
50224,1.5411819
50225,1.544278
50226,2.0374718
50227,1.6737859
50228,2.1157007
50229,1.6988041
50230,1.7406919
50231,1.8384217
50232,1.9107506
50233,2.1435838
50234,1.9683672
50235,1.7826787
50236,1.4212111
50237,1.6856321
50238,2.0814495
50239,1.6816189
50240,1.6736379
50241,1.72306
50242,2.027377
50243,1.7359358
50244,1.6967564
50245,1.8198229
50246,2.1998224
50247,2.0320754
50248,1.5753562
50249,1.7035184
50250,2.184593
50251,1.8048166
50252,1.8637003
50253,1.8875958
50254,1.9826252
50255,1.6045097
50256,1.5700268
50257,1.8069745
50258,1.8955195
50259,2.0225122
50260,1.4417746
50261,1.7234184
50262,1.8397886
50263,1.9132829
50264,1.9645724
50265,1.5729638
50266,1.8153015
50267,2.0680845
50268,1.6383764
50269,1.616449
50270,1.666927
50271,1.6263877
50272,2.0439215
50273,1.8869046
50274,1.7754248
50275,1.6854355
50276,2.0061266
50277,2.0039468
50278,1.7493666
50279,1.8976033
50280,1.4275259
50281,1.8227532
50282,1.6638657
50283,1.6296486
50284,1.9299265
50285,1.6521249
50286,1.8944591
50287,1.7849966
50288,1.9106182
50289,1.732949
