Id,y
50100,1.9884856
50101,2.033592
50102,1.7484074
50103,2.2868907
50104,1.7068014
50105,1.5519282
50106,2.0451758
50107,1.9532542
50108,1.9598128
50109,1.8880936
50110,1.3740449
50111,1.7156452
50112,1.9095777
50113,1.8020918
50114,1.9971412
50115,2.124985
50116,1.9505781
50117,1.8646874
50118,2.0946584
50119,1.5045142
50120,2.1471195
50121,1.9187471
50122,1.3346404
50123,1.9887755
50124,1.6325469
50125,1.6239495
50126,1.7809356
50127,1.8650994
50128,1.6895046
50129,1.7288594
50130,2.085779
50131,1.865423
50132,1.816443
50133,1.9231682
50134,1.8886157
50135,2.046735
50136,1.6410809
50137,1.6529213
50138,1.8666979
50139,1.7892278
50140,1.7938371
50141,2.24833
50142,1.7066875
50143,1.785464
50144,1.666656
50145,1.9836231
50146,1.8844889
50147,1.9994155
50148,2.0547936
50149,1.8297441
50150,1.8325403
50151,1.7583319
50152,1.965784
50153,2.152573
50154,1.4178393
50155,2.223351
50156,2.2763734
50157,1.6442213
50158,1.6201593
50159,1.3817878
50160,1.6644244
50161,2.1060257
50162,2.5983362
50163,1.9960337
50164,1.7158372
50165,1.682041
50166,1.6826632
50167,1.8984386
50168,1.5874054
50169,1.3567754
50170,1.6801188
50171,2.27889
50172,1.8212024
50173,2.2141497
50174,1.7734078
50175,1.2498411
50176,2.5011206
50177,2.0786378
50178,2.0599217
50179,2.0479457
50180,2.238327
50181,1.4120966
50182,2.0220878
50183,1.5565206
50184,2.0111916
50185,1.3635244
50186,2.067296
50187,2.3533268
50188,2.2763467
50189,1.9778801
50190,2.2134943
50191,2.3896468
50192,2.276935
50193,2.473846
50194,1.8194551
50195,1.7471979
50196,1.818069
50197,1.8505057
50198,2.049291
50199,1.9865657
50200,1.7534076
50201,2.330305
50202,1.4711035
50203,1.4407215
50204,1.5994204
50205,1.3135391
50206,2.3315103
50207,1.8679992
50208,1.5603151
50209,1.4149222
50210,1.7765195
50211,1.4408023
50212,1.8632804
50213,1.9189868
50214,1.6395483
50215,1.6683673
50216,1.3350306
50217,1.6079395
50218,2.027254
50219,2.02102
50220,2.796445
50221,2.2456656
50222,2.3143542
50223,2.0479312
50224,1.2570869
50225,2.2014802
50226,1.6075091
50227,2.1964557
50228,1.7268856
50229,2.3180063
50230,1.6982393
50231,1.8591145
50232,2.1264892
50233,2.0177636
50234,1.9488976
50235,1.6025176
50236,1.5113324
50237,1.8861415
50238,1.8271538
50239,1.9501945
50240,1.2611201
50241,1.4194938
50242,2.1259327
50243,2.000117
50244,1.5351326
50245,1.723614
50246,1.9860137
50247,1.6276144
50248,2.43107
50249,2.1042078
50250,2.046485
50251,1.7431656
50252,1.6950923
50253,2.1651592
50254,2.014179
50255,1.7893695
50256,2.1137848
50257,1.8319517
50258,1.9633596
50259,1.6426648
50260,1.4005524
50261,1.7666184
50262,1.8643901
50263,1.5658896
50264,1.4818007
50265,1.8875932
50266,1.7276986
50267,2.19113
50268,1.7566515
50269,1.8678916
50270,2.1366725
50271,2.2052355
50272,2.2804818
50273,2.0310214
50274,1.9236106
50275,1.6715544
50276,1.5877781
50277,2.0418825
50278,1.6092252
50279,1.5499053
50280,2.1539412
50281,1.5105546
50282,2.2405863
50283,1.9942203
50284,1.9130851
50285,1.2647767
50286,1.9159048
50287,2.0340226
50288,2.1631958
50289,1.7158065
50290,2.225233
50291,2.4141073
50292,1.8555021
50293,2.0531268
50294,1.9048238
50295,1.7652059
50296,2.2222373
50297,1.5175312
50298,1.9266431
50299,2.1806705
50300,1.8597895
50301,1.6126089
50302,2.291542
50303,2.0815454
50304,1.9407705
50305,1.3414407
50306,1.4223492
50307,1.6363838
50308,1.8199103
50309,1.6122711
50310,2.09807
50311,1.869831
50312,2.0915713
50313,2.3799067
50314,1.5860436
50315,1.8415345
50316,1.7323227
50317,1.5864644
50318,1.845776
50319,1.8777354
50320,1.9392043
50321,1.9876108
50322,2.3272877
50323,1.6363137
50324,1.9697801
50325,2.1627662
50326,2.0559907
50327,1.8700683
50328,1.9104642
50329,1.813823
50330,1.9826924
50331,1.6859014
50332,1.7991807
50333,1.5580631
50334,1.430934
50335,1.6263697
50336,1.959427
50337,1.3129994
50338,1.9680438
50339,1.8876057
